addr,router,asn,org,conn_asn,conn_org,rtype,itype
94.53.10.9,94.53.10.9,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,50,0
185.199.175.1,185.199.175.1,43927,ORG-ES311-RIPE,43927,ORG-ES311-RIPE,70,-1
86.104.125.70,86.104.125.70,-1,-1,-370,-370,-1,-1
81.22.150.2,81.22.150.2,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,70,0
194.9.92.1,194.9.92.1,31554,ORG-SRSS1-RIPE,31554,ORG-SRSS1-RIPE,70,-1
5.254.69.42,5.254.69.42,8100,QEL-5-ARIN,3223,ORG-VL241-RIPE,170,0
141.85.160.1,141.85.160.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
176.52.185.3,176.52.185.3,47420,ORG-TS122-RIPE,47420,ORG-TS122-RIPE,50,-1
103.246.249.0,103.246.249.0,6204,ORG-IHS20-RIPE,25198,ORG-IHS20-RIPE,70,0
37.128.239.145,37.128.239.145,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,2,1
93.114.190.188,93.114.190.188,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
77.87.89.29,77.87.89.29,-1,-1,49719,ORG-SHTU1-RIPE,6000000,-1
93.114.190.249,93.114.190.249,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
185.214.104.89,185.214.104.89,48351,ORG-ES392-RIPE,48351,ORG-ES392-RIPE,70,-1
89.137.188.5,89.137.188.5,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
91.220.63.65,91.220.63.65,197357,ORG-CS336-RIPE,197357,ORG-CS336-RIPE,70,-1
109.101.126.177,109.101.126.177,9050,ORG-AA45-RIPE,9050,ORG-AA45-RIPE,2,-1
89.40.196.53,89.40.196.53,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,50,-1
37.128.239.105,37.128.239.105,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
89.149.57.201,89.149.57.201,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,50,-1
93.114.190.246,93.114.190.246,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
217.73.170.1,217.73.170.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
