addr,router,asn,org,conn_asn,conn_org,rtype,itype
193.27.65.134,193.27.65.134,33970,ORG-GL37-RIPE,33970,ORG-GL37-RIPE,70,0
89.33.97.217,89.33.97.217,35584,ORG-BIGS2-RIPE,35584,ORG-BIGS2-RIPE,70,-1
195.28.185.242,195.28.185.242,42423,ORG-BTS33-RIPE,33823,ORG-PTMS2-RIPE,5000100,0
86.105.155.193,86.105.155.193,56430,ORG-CNS26-RIPE,56430,ORG-CNS26-RIPE,70,-1
93.114.190.158,93.114.190.158,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
85.120.244.1,85.120.244.1,62445,ORG-ANS34-RIPE,62445,ORG-ANS34-RIPE,70,-1
217.73.170.1,217.73.170.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
93.114.190.238,93.114.190.238,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
91.186.184.29,91.186.184.29,2914,NTTAM-1-ARIN,2914,NTTAM-1-ARIN,2,0
62.121.99.1,62.121.99.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
95.77.64.145,95.77.64.145,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
93.114.190.178,93.114.190.178,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
5.254.69.42,5.254.69.42,8100,QEL-5-ARIN,3223,ORG-VL241-RIPE,170,0
212.146.120.13,212.146.120.13,5606,ORG-GTS2-RIPE,5606,ORG-GTS2-RIPE,50,-1
193.27.65.10,193.27.65.10,33970,ORG-GL37-RIPE,33970,ORG-GL37-RIPE,70,-1
77.87.89.29,77.87.89.29,49719,ORG-SHTU1-RIPE,49719,ORG-SHTU1-RIPE,70,-1
95.77.215.1,95.77.215.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
185.120.147.41,185.120.147.41,9009,ORG-MES6-RIPE,51295,ORG-TEMS3-RIPE,50,0
176.52.185.3,176.52.185.3,47420,ORG-TS122-RIPE,47420,ORG-TS122-RIPE,50,-1
185.214.104.89,185.214.104.89,48351,ORG-ES392-RIPE,48351,ORG-ES392-RIPE,70,-1
85.9.52.157,85.9.52.157,5606,ORG-GTS2-RIPE,5606,ORG-GTS2-RIPE,50,0
37.128.232.25,37.128.232.25,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
93.114.191.126,93.114.191.126,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,1
184.104.197.186,184.104.197.186,6939,HURC-ARIN,6939,HURC-ARIN,70,-1
136.255.75.1,136.255.75.1,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
141.85.160.1,141.85.160.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
194.5.208.1,194.5.208.1,34915,ORG-MSS30-RIPE,34915,ORG-MSS30-RIPE,70,-1
93.114.190.202,93.114.190.202,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
86.127.160.165,86.127.160.165,8708,ORG-RA18-RIPE,34915,ORG-MSS30-RIPE,2,0
62.115.62.249,62.115.62.249,1299,ORG-TCA32-RIPE,31554,ORG-SRSS1-RIPE,2,1
37.128.230.21,37.128.230.21,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
194.9.92.1,194.9.92.1,31554,ORG-SRSS1-RIPE,31554,ORG-SRSS1-RIPE,70,-1
93.114.190.216,93.114.190.216,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,1
85.9.9.170,85.9.9.170,5606,ORG-GTS2-RIPE,5606,ORG-GTS2-RIPE,70,0
37.128.233.21,37.128.233.21,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
194.40.210.1,194.40.210.1,57815,ORG-NESS1-RIPE,57815,ORG-NESS1-RIPE,70,-1
89.165.233.65,89.165.233.65,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,50,-1
176.52.185.2,176.52.185.2,47420,ORG-TS122-RIPE,47420,ORG-TS122-RIPE,70,0
89.40.196.49,89.40.196.49,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,2,0
89.40.196.53,89.40.196.53,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,50,-1
185.86.67.65,185.86.67.65,41494,ORG-AI97-RIPE,41494,ORG-AI97-RIPE,70,-1
193.239.116.217,193.239.116.217,7500,@aut-23634-JPNIC,-164,-164,50,-1
89.34.110.1,89.34.110.1,39511,ORG-SVNC1-RIPE,39511,ORG-SVNC1-RIPE,70,-1
89.42.203.129,89.42.203.129,42405,ORG-SPS13-RIPE,42405,ORG-SPS13-RIPE,70,-1
78.96.208.1,78.96.208.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
136.255.248.202,136.255.248.202,12302,ORG-MS15-RIPE,8919,ORG-ATS4-RIPE,70,1
89.44.208.118,89.44.208.118,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,-1
95.77.112.85,95.77.112.85,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
37.128.239.121,37.128.239.121,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,2,0
89.149.57.201,89.149.57.201,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,50,-1
93.114.190.246,93.114.190.246,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,1
89.137.188.5,89.137.188.5,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
93.114.191.118,93.114.191.118,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
95.77.36.177,95.77.36.177,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
103.246.249.0,103.246.249.0,6204,ORG-IHS20-RIPE,25198,ORG-IHS20-RIPE,70,0
89.37.120.161,89.37.120.161,39737,ORG-NVTS1-RIPE,35584,ORG-BIGS2-RIPE,70,0
185.179.156.1,185.179.156.1,51295,ORG-TEMS3-RIPE,51295,ORG-TEMS3-RIPE,70,-1
85.122.180.10,85.122.180.10,48141,ORG-CO6-RIPE,48141,ORG-CO6-RIPE,70,0
89.136.224.185,89.136.224.185,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,-1
94.53.10.9,94.53.10.9,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,50,0
80.86.97.149,80.86.97.149,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,70,0
93.114.191.12,93.114.191.12,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
93.114.194.225,93.114.194.225,25198,ORG-IHS20-RIPE,25198,ORG-IHS20-RIPE,70,-1
81.22.150.2,81.22.150.2,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,2,0
89.40.40.233,89.40.40.233,33970,ORG-GL37-RIPE,9009,ORG-MES6-RIPE,270,0
202.12.27.33,202.12.27.33,7500,@aut-23634-JPNIC,7500,@aut-23634-JPNIC,2,0
194.42.102.1,194.42.102.1,31554,ORG-SRSS1-RIPE,31554,ORG-SRSS1-RIPE,70,-1
185.132.173.65,185.132.173.65,39668,ORG-SIS22-RIPE,39668,ORG-SIS22-RIPE,70,-1
86.104.178.173,86.104.178.173,43376,ORG-DTS20-RIPE,49719,ORG-SHTU1-RIPE,70,0
185.199.175.1,185.199.175.1,43927,ORG-ES311-RIPE,43927,ORG-ES311-RIPE,70,-1
5.254.69.97,5.254.69.97,3223,ORG-VL241-RIPE,41494,ORG-AI97-RIPE,50,1
193.251.252.199,193.251.252.199,5511,ORG-FT2-RIPE,6204,ORG-IHS20-RIPE,2,0
37.128.239.105,37.128.239.105,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
85.120.220.254,85.120.220.254,48141,ORG-CO6-RIPE,48141,ORG-CO6-RIPE,50,-1
37.128.225.233,37.128.225.233,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
78.97.196.1,78.97.196.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
91.220.63.65,91.220.63.65,197357,ORG-CS336-RIPE,197357,ORG-CS336-RIPE,70,-1
