addr,router,asn,org,conn_asn,conn_org,rtype,itype
80.87.211.16,80.87.211.16,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,1
87.244.238.78,87.244.238.78,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,2,0
185.213.144.70,185.213.144.70,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,50,-1
109.236.114.2,109.236.114.2,50242,ORG-LS55-RIPE,50242,ORG-LS55-RIPE,50,-1
80.87.221.80,80.87.221.80,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,0
185.171.141.50,185.171.141.50,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
188.123.98.129,188.123.98.129,58328,ORG-IS562-RIPE,58328,ORG-IS562-RIPE,50,-1
90.64.216.1,90.64.216.1,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,50,-1
109.236.114.1,109.236.114.1,50242,ORG-LS55-RIPE,50242,ORG-LS55-RIPE,70,0
80.87.217.249,80.87.217.249,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,-1
185.171.142.75,185.171.142.75,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
62.168.99.65,62.168.99.65,5578,ORG-SPA43-RIPE,5578,ORG-SPA43-RIPE,2,1
80.87.217.241,80.87.217.241,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,-1
80.87.211.100,80.87.211.100,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,0
80.87.221.112,80.87.221.112,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,0
185.171.140.225,185.171.140.225,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.140.171,185.171.140.171,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
5.252.23.1,5.252.23.1,44477,ORG-SISL20-RIPE,44477,ORG-SISL20-RIPE,70,-1
185.171.141.92,185.171.141.92,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
147.232.200.4,147.232.200.4,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,50,0
176.116.104.1,176.116.104.1,58130,ORG-RS198-RIPE,58130,ORG-RS198-RIPE,70,-1
185.171.141.40,185.171.141.40,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,2,0
194.160.8.2,194.160.8.2,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,70,0
185.213.144.242,185.213.144.242,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,50,-1
188.123.96.237,188.123.96.237,58328,ORG-IS562-RIPE,58328,ORG-IS562-RIPE,70,0
185.48.249.9,185.48.249.9,61424,ORG-ES256-RIPE,44477,ORG-SISL20-RIPE,70,0
88.212.4.53,88.212.4.53,42841,ORG-ACAC3-RIPE,42841,ORG-ACAC3-RIPE,2,0
185.171.141.61,185.171.141.61,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,2,0
185.171.141.106,185.171.141.106,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
62.168.99.61,62.168.99.61,5578,ORG-SPA43-RIPE,5578,ORG-SPA43-RIPE,2,0
185.213.144.65,185.213.144.65,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,2,0
185.213.144.241,185.213.144.241,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,2,0
185.171.140.166,185.171.140.166,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.141.80,185.171.141.80,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
195.168.55.13,195.168.55.13,5578,ORG-SPA43-RIPE,5578,ORG-SPA43-RIPE,50,-1
185.171.141.108,185.171.141.108,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
62.115.45.30,62.115.45.30,1299,ORG-TCA32-RIPE,1299,ORG-TCA32-RIPE,2,-1
185.176.72.86,185.176.72.86,29405,ORG-VSRO1-RIPE,29405,ORG-VSRO1-RIPE,50,0
80.87.211.8,80.87.211.8,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,70,0
185.171.140.58,185.171.140.58,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
213.151.198.57,213.151.198.57,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,50,1
185.69.107.1,185.69.107.1,201603,ORG-AS360-RIPE,201603,ORG-AS360-RIPE,70,-1
185.171.141.188,185.171.141.188,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,1
195.168.60.233,195.168.60.233,5578,ORG-SPA43-RIPE,50242,ORG-LS55-RIPE,50,0
213.151.198.94,213.151.198.94,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,2,0
217.73.16.225,217.73.16.225,29405,ORG-VSRO1-RIPE,61424,ORG-ES256-RIPE,50,0
80.242.36.129,80.242.36.129,44234,ORG-GS320-RIPE,44234,ORG-GS320-RIPE,70,-1
147.232.14.145,147.232.14.145,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,50,0
185.1.234.10,185.1.234.10,-1,-1,-3809,-3809,1,-1
185.171.141.196,185.171.141.196,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
91.221.4.1,91.221.4.1,49798,ORG-SS584-RIPE,49798,ORG-SS584-RIPE,70,-1
185.171.142.42,185.171.142.42,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
62.168.110.65,62.168.110.65,5578,ORG-SPA43-RIPE,2607,ORG-SAN1-RIPE,2,0
87.244.236.30,87.244.236.30,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,2,0
147.232.16.1,147.232.16.1,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,50,-1
