addr,router,asn,org,conn_asn,conn_org,rtype,itype
5.254.69.97,5.254.69.97,3223,ORG-VL241-RIPE,41494,ORG-AI97-RIPE,50,0
89.33.97.217,89.33.97.217,35584,ORG-BIGS2-RIPE,35584,ORG-BIGS2-RIPE,70,-1
93.114.190.140,93.114.190.140,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
89.40.196.53,89.40.196.53,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,50,-1
95.77.64.145,95.77.64.145,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
141.85.160.1,141.85.160.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
89.42.203.129,89.42.203.129,42405,ORG-SPS13-RIPE,42405,ORG-SPS13-RIPE,70,-1
217.73.168.1,217.73.168.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
109.163.235.158,109.163.235.158,8708,ORG-RA18-RIPE,3223,ORG-VL241-RIPE,70,0
37.128.233.21,37.128.233.21,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
85.9.9.165,85.9.9.165,5606,ORG-GTS2-RIPE,5606,ORG-GTS2-RIPE,50,0
85.122.180.10,85.122.180.10,48141,ORG-CO6-RIPE,48141,ORG-CO6-RIPE,70,0
93.114.191.126,93.114.191.126,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
72.52.92.69,72.52.92.69,6939,HURC-ARIN,6939,HURC-ARIN,50,0
136.255.248.202,136.255.248.202,5606,ORG-GTS2-RIPE,12302,ORG-MS15-RIPE,270,0
193.27.65.130,193.27.65.130,33970,ORG-GL37-RIPE,33970,ORG-GL37-RIPE,70,-1
37.128.239.121,37.128.239.121,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
217.73.170.1,217.73.170.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
216.66.95.114,216.66.95.114,6939,HURC-ARIN,6939,HURC-ARIN,50,2
212.146.87.178,212.146.87.178,5606,ORG-GTS2-RIPE,5606,ORG-GTS2-RIPE,2,0
184.105.65.50,184.105.65.50,6939,HURC-ARIN,33970,ORG-GL37-RIPE,50,0
