addr,router,asn,org,conn_asn,conn_org,rtype,itype
89.165.233.65,89.165.233.65,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,50,-1
193.0.14.129,193.0.14.129,25152,ORG-RIEN1-RIPE,25152,ORG-RIEN1-RIPE,2,-1
85.122.180.10,85.122.180.10,48141,ORG-CO6-RIPE,48141,ORG-CO6-RIPE,70,0
93.113.126.129,93.113.126.129,60149,ORG-NRS2-RIPE,60149,ORG-NRS2-RIPE,70,-1
89.149.57.201,89.149.57.201,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,50,-1
89.238.255.9,89.238.255.9,6663,ORG-ERS6-RIPE,6663,ORG-ERS6-RIPE,70,-1
81.22.150.2,81.22.150.2,25152,ORG-RIEN1-RIPE,48161,ORG-NCS10-RIPE,270,0
37.128.235.25,37.128.235.25,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
89.42.203.129,89.42.203.129,42405,ORG-SPS13-RIPE,42405,ORG-SPS13-RIPE,70,-1
37.128.232.25,37.128.232.25,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
37.128.239.105,37.128.239.105,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
176.52.185.2,176.52.185.2,47420,ORG-TS122-RIPE,47420,ORG-TS122-RIPE,70,0
86.105.155.193,86.105.155.193,56430,ORG-CNS26-RIPE,56430,ORG-CNS26-RIPE,70,-1
93.114.191.18,93.114.191.18,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
89.33.97.217,89.33.97.217,35584,ORG-BIGS2-RIPE,35584,ORG-BIGS2-RIPE,70,-1
86.107.73.2,86.107.73.2,60149,ORG-NRS2-RIPE,60149,ORG-NRS2-RIPE,70,-1
185.214.104.89,185.214.104.89,48351,ORG-ES392-RIPE,48351,ORG-ES392-RIPE,70,-1
95.77.215.1,95.77.215.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
85.120.220.254,85.120.220.254,48141,ORG-CO6-RIPE,48141,ORG-CO6-RIPE,50,-1
37.128.233.21,37.128.233.21,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
93.114.194.225,93.114.194.225,25198,ORG-IHS20-RIPE,25198,ORG-IHS20-RIPE,70,-1
85.120.244.1,85.120.244.1,62445,ORG-ANS34-RIPE,62445,ORG-ANS34-RIPE,70,-1
89.136.99.17,89.136.99.17,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
37.128.225.233,37.128.225.233,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
136.255.248.202,136.255.248.202,12302,ORG-MS15-RIPE,8919,ORG-ATS4-RIPE,2,1
93.114.191.126,93.114.191.126,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
194.42.102.1,194.42.102.1,31554,ORG-SRSS1-RIPE,31554,ORG-SRSS1-RIPE,70,-1
93.114.190.246,93.114.190.246,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
109.101.126.177,109.101.126.177,9050,ORG-AA45-RIPE,9050,ORG-AA45-RIPE,70,-1
37.128.232.181,37.128.232.181,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
217.73.170.1,217.73.170.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
193.168.186.225,193.168.186.225,33823,ORG-PTMS2-RIPE,33823,ORG-PTMS2-RIPE,70,-1
93.114.190.249,93.114.190.249,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
89.40.196.53,89.40.196.53,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,50,-1
45.134.48.1,45.134.48.1,35478,ORG-BTS48-RIPE,35478,ORG-BTS48-RIPE,70,-1
86.104.125.80,86.104.125.80,-1,-1,-370,-370,1,-1
92.80.245.109,92.80.245.109,9050,ORG-AA45-RIPE,39081,ORG-RISS4-RIPE,70,0
194.40.210.1,194.40.210.1,57815,ORG-NESS1-RIPE,57815,ORG-NESS1-RIPE,70,-1
91.220.63.65,91.220.63.65,197357,ORG-CS336-RIPE,197357,ORG-CS336-RIPE,70,-1
94.53.12.22,94.53.12.22,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,50,0
62.133.45.34,62.133.45.34,9009,ORG-MES6-RIPE,9009,ORG-MES6-RIPE,70,-1
86.104.125.70,86.104.125.70,-1,-1,-370,-370,-1,-1
185.86.67.65,185.86.67.65,41494,ORG-AI97-RIPE,41494,ORG-AI97-RIPE,70,-1
217.73.168.1,217.73.168.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
185.179.156.1,185.179.156.1,51295,ORG-TEMS3-RIPE,51295,ORG-TEMS3-RIPE,70,-1
89.37.126.137,89.37.126.137,39737,ORG-NVTS1-RIPE,48351,ORG-ES392-RIPE,70,0
185.120.147.41,185.120.147.41,9009,ORG-MES6-RIPE,51295,ORG-TEMS3-RIPE,50,0
89.238.218.213,89.238.218.213,6663,ORG-ERS6-RIPE,6663,ORG-ERS6-RIPE,70,-1
195.28.185.189,195.28.185.189,33823,ORG-PTMS2-RIPE,-1,-1,70,0
80.86.97.149,80.86.97.149,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,70,0
103.246.249.0,103.246.249.0,6204,ORG-IHS20-RIPE,25198,ORG-IHS20-RIPE,70,0
37.128.230.21,37.128.230.21,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
