addr,router,asn,org,conn_asn,conn_org,rtype,itype
94.53.12.22,94.53.12.22,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,50,0
89.40.196.49,89.40.196.49,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,2,0
37.128.233.21,37.128.233.21,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
37.128.239.145,37.128.239.145,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,2,1
93.114.191.126,93.114.191.126,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
85.120.48.129,85.120.48.129,39081,ORG-RISS4-RIPE,39081,ORG-RISS4-RIPE,70,-1
95.77.112.85,95.77.112.85,8919,ORG-ATS4-RIPE,12302,ORG-MS15-RIPE,270,0
5.254.67.66,5.254.67.66,8100,QEL-5-ARIN,3223,ORG-VL241-RIPE,170,0
176.52.185.2,176.52.185.2,47420,ORG-TS122-RIPE,47420,ORG-TS122-RIPE,70,0
109.101.126.177,109.101.126.177,9050,ORG-AA45-RIPE,9050,ORG-AA45-RIPE,2,-1
136.255.248.204,136.255.248.204,12302,ORG-MS15-RIPE,8919,ORG-ATS4-RIPE,2,0
149.6.51.73,149.6.51.73,174,COGC-ARIN,174,COGC-ARIN,2,-1
176.52.185.3,176.52.185.3,47420,ORG-TS122-RIPE,47420,ORG-TS122-RIPE,50,-1
78.97.196.1,78.97.196.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
93.114.190.204,93.114.190.204,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
93.114.190.188,93.114.190.188,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
93.114.190.216,93.114.190.216,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
91.186.184.33,91.186.184.33,2914,NTTAM-1-ARIN,2914,NTTAM-1-ARIN,2,0
37.128.239.105,37.128.239.105,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
136.255.75.1,136.255.75.1,12302,ORG-MS15-RIPE,42405,ORG-SPS13-RIPE,2,0
83.166.222.126,83.166.222.126,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,2,0
194.9.92.1,194.9.92.1,31554,ORG-SRSS1-RIPE,31554,ORG-SRSS1-RIPE,70,-1
93.114.194.225,93.114.194.225,25198,ORG-IHS20-RIPE,25198,ORG-IHS20-RIPE,70,-1
37.128.225.233,37.128.225.233,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
185.0.0.253,185.0.0.253,-1,-1,-3577,-3577,1,-1
5.254.69.97,5.254.69.97,3223,ORG-VL241-RIPE,41494,ORG-AI97-RIPE,50,1
185.179.156.1,185.179.156.1,51295,ORG-TEMS3-RIPE,51295,ORG-TEMS3-RIPE,70,-1
77.87.89.29,77.87.89.29,49719,ORG-SHTU1-RIPE,49719,ORG-SHTU1-RIPE,70,-1
37.128.232.181,37.128.232.181,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
93.114.190.246,93.114.190.246,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,70,0
89.165.233.65,89.165.233.65,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,50,-1
193.251.252.199,193.251.252.199,5511,ORG-FT2-RIPE,6204,ORG-IHS20-RIPE,2,0
37.128.232.25,37.128.232.25,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
62.115.62.249,62.115.62.249,1299,ORG-TCA32-RIPE,31554,ORG-SRSS1-RIPE,2,1
89.40.196.53,89.40.196.53,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,50,-1
45.134.48.1,45.134.48.1,35478,ORG-BTS48-RIPE,35478,ORG-BTS48-RIPE,70,-1
93.114.190.249,93.114.190.249,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
92.80.245.109,92.80.245.109,9050,ORG-AA45-RIPE,39081,ORG-RISS4-RIPE,2,0
